text,label
"Python SQL Pandas NumPy statistics data cleaning visualization",Data Science
"Exploratory data analysis Python Jupyter Pandas Matplotlib Seaborn",Data Science
"Predictive modeling regression classification feature engineering Python",Data Science
"Data mining statistics machine learning SQL business insights",Data Science
"A B testing hypothesis testing dashboards Python analytics",Data Science
"HTML CSS JavaScript React responsive website frontend",Web Development
"Full stack web application JavaScript Node React REST API",Web Development
"Website development Bootstrap Tailwind forms authentication deployment",Web Development
"Interactive web pages DOM JavaScript browser APIs CSS",Web Development
"Modern web development NextJS TypeScript routing components",Web Development
"CI CD pipelines Docker Kubernetes Jenkins infrastructure automation",DevOps
"Linux servers monitoring deployment containers Terraform GitHub Actions",DevOps
"Build release automation Docker Compose Kubernetes Helm DevOps",DevOps
"Infrastructure as code Terraform Ansible cloud deployment pipelines",DevOps
"Observability logging monitoring Prometheus Grafana deployment automation",DevOps
"TensorFlow PyTorch deep learning neural networks model training",AI/ML
"Machine learning algorithms model evaluation feature selection Python",AI/ML
"Computer vision NLP deep learning classification regression AI",AI/ML
"Model deployment inference pipelines Scikit Learn PyTorch",AI/ML
"Supervised learning unsupervised learning neural networks optimization",AI/ML
"NodeJS Express MongoDB backend APIs authentication authorization",Backend Development
"Server side development REST APIs databases caching security",Backend Development
"Backend services Python FastAPI PostgreSQL Redis microservices",Backend Development
"API design database schema server architecture cloud backend",Backend Development
"Scalable backend systems queues workers authentication logging",Backend Development
"Kotlin Android Studio Jetpack Compose Firebase mobile apps",Android Development
"Android activities fragments layouts Room database notifications",Android Development
"Native Android development Kotlin Java Gradle Material Design",Android Development
"Mobile UI Android lifecycle Firebase authentication Firestore",Android Development
"Android app performance debugging Play Store release",Android Development
"Network security penetration testing Kali Linux ethical hacking",Cybersecurity
"Security operations vulnerability assessment firewalls intrusion detection",Cybersecurity
"Web security OWASP authentication encryption threat modeling",Cybersecurity
"Cybersecurity incident response malware analysis digital forensics",Cybersecurity
"Access control SIEM risk assessment security auditing",Cybersecurity
"Excel SQL PowerBI Tableau reporting dashboards KPIs",Data Analytics
"Business data analysis visualization cleaning reporting insights",Data Analytics
"SQL queries spreadsheets charts descriptive statistics analytics",Data Analytics
"Customer analytics sales dashboards Excel Power Query",Data Analytics
